no;title;year;genre;origin;director;star;imdb_link;image_url
1;The Shawshank Redemption;1994;Drama;USA;Frank Darabont;Tim Robbins;https://www.imdb.com/title/tt0111161;https://m.media-amazon.com/images/M/MV5BNDE3ODcxYzMtY2YzZC00NmNlLWJiNDMtZDViZWM2MzIxZDYwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_FMjpg_UX1000_.jpg
2;The Godfather;1972;Drama;USA;Francis Ford Coppola;Marlon Brando;https://www.imdb.com/title/tt0068646;https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_FMjpg_UX1000_.jpg
3;The Godfather: Part II;1974;Drama;USA;Francis Ford Coppola;Al Pacino;https://www.imdb.com/title/tt0071562;https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_FMjpg_UX1000_.jpg
4;The Dark Knight;2008;Drama;USA;Christopher Nolan;Christian Bale;https://www.imdb.com/title/tt0468569;https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_FMjpg_UX1000_.jpg
5;12 Angry Men;1957;Drama;USA;Sidney Lumet;Henry Fonda;https://www.imdb.com/title/tt0050083;https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_FMjpg_UX1000_.jpg
6;Schindler's List;1993;Drama;USA;Steven Spielberg;Liam Neeson;https://www.imdb.com/title/tt0108052;https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg
7;The Lord of the Rings: The Return of the King;2003;Fantasy;USA;Peter Jackson;Elijah Wood;https://www.imdb.com/title/tt0167260;https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_FMjpg_UX1000_.jpg
8;Pulp Fiction;1994;Drama;USA;Quentin Tarantino;John Travolta;https://www.imdb.com/title/tt0110912;https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_FMjpg_UX1000_.jpg
9;Il buono, il brutto, il cattivo;1966;Western;West Germany;Sergio Leone;Clint Eastwood;https://www.imdb.com/title/tt0060196;https://m.media-amazon.com/images/M/MV5BNjJlYmNkZGItM2NhYy00MjlmLTk5NmQtNjg1NmM2ODU4OTMwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_FMjpg_UX1000_.jpg
10;Fight Club;1999;Drama;USA;David Fincher;Brad Pitt;https://www.imdb.com/title/tt0137523;https://m.media-amazon.com/images/M/MV5BNDIzNDU0YzEtYzE5Ni00ZjlkLTk5ZjgtNjM3NWE4YzA3Nzk3XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_FMjpg_UX1000_.jpg
11;The Lord of the Rings: The Fellowship of the Ring;2001;Fantasy;USA;Peter Jackson;Elijah Wood;https://www.imdb.com/title/tt0120737;https://m.media-amazon.com/images/M/MV5BZDcyNzRkNWEtYzUwMS00Mzc4LWFkNjMtNDQ0ZDQzMmFiY2E0XkEyXkFqcGdeQXVyMzI3MDY1MTg@._V1_FMjpg_UX1000_.jpg
12;Forrest Gump;1994;Drama;USA;Robert Zemeckis;Tom Hanks;https://www.imdb.com/title/tt0109830;https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX1000_.jpg
13;Star Wars: Episode V - The Empire Strikes Back;1980;Fantasy;USA;Irvin Kershner;Mark Hamill;https://www.imdb.com/title/tt0080684;https://m.media-amazon.com/images/M/MV5BMTU3OTEyYTYtYjNlMi00ZWIyLWJhYzUtOTQ4OWZkYTA5N2I5XkEyXkFqcGdeQXVyOTU2NDAzNDE@._V1_FMjpg_UX1000_.jpg
14;Inception;2010;Adventure;USA;Christopher Nolan;Leonardo DiCaprio;https://www.imdb.com/title/tt1375666;https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_FMjpg_UX1000_.jpg
15;The Lord of the Rings: The Two Towers;2002;Fantasy;USA;Peter Jackson;Elijah Wood;https://www.imdb.com/title/tt0167261;https://m.media-amazon.com/images/M/MV5BZGMxZTdjZmYtMmE2Ni00ZTdkLWI5NTgtNjlmMjBiNzU2MmI5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg
